id,title,year,venue,resource_type,publication_status,tracks,topics,workloads,why_read,source_url,venue_evidence_url,reading_status,presented_on,assistant_review,source_checked_on,note_path,release_date,release_date_type,release_date_source,read_version,added_on
hummingbird-2025,Hummingbird: A Smaller and Faster Large Language Model Accelerator on Embedded FPGA,2025,ICCAD,paper,published,fpga-architecture,architecture;dsp;gemv;memory;dataflow,LLM;LLaMA3-8B,比较嵌入式 DDR FPGA 的 DSP 内部复用、访存对齐和 GQA 数据流，与 FlightLLM 的 HBM 路线形成对照,https://arxiv.org/html/2507.03308v2,https://ieeexplore.ieee.org/document/11241002/,unrecorded,,source_screened,2026-09-14,notes/hummingbird-2025.md,2025-07-04,arxiv_v1,https://arxiv.org/abs/2507.03308,arXiv v2,2026-09-14
gptq-2023,GPTQ: Accurate Post-Training Quantization for Generative Pre-trained Transformers,2023,ICLR,paper,published,quantization,quantization;reconstruction,LLM,理解二阶重构及逐层误差补偿的适用条件,https://arxiv.org/abs/2210.17323,https://www.research-collection.ethz.ch/items/00736213-37b2-4e99-b015-141349b71413,unrecorded,,source_screened,2026-09-14,,,,,,
smoothquant-2023,SmoothQuant: Accurate and Efficient Post-Training Quantization for Large Language Models,2023,ICML,paper,published,quantization,quantization;scaling;outlier,LLM,比较等价缩放与静态或动态激活量化接口,https://proceedings.mlr.press/v202/xiao23c.html,https://proceedings.mlr.press/v202/xiao23c.html,unrecorded,,source_screened,2026-09-14,,,,,,
awq-2024,AWQ: Activation-aware Weight Quantization for On-Device LLM Compression and Acceleration,2024,MLSys,paper,published,quantization,quantization;scaling;inference,LLM,理解激活感知权重保护及算法与实现收益的区别,https://proceedings.mlsys.org/paper_files/paper/2024/hash/42a452cbafa9dd64e9ba4aa95cc1ef21-Abstract-Conference.html,https://proceedings.mlsys.org/paper_files/paper/2024/hash/42a452cbafa9dd64e9ba4aa95cc1ef21-Abstract-Conference.html,unrecorded,,source_screened,2026-09-14,,,,,,
quarot-2024,QuaRot: Outlier-Free 4-Bit Inference in Rotated LLMs,2024,NeurIPS,paper,published,quantization,quantization;rotation;outlier,LLM,区分旋转的离线折叠与在线运算及低比特覆盖范围,https://proceedings.neurips.cc/paper_files/paper/2024/hash/b5b939436789f76f08b9d0da5e81af7c-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2024/hash/b5b939436789f76f08b9d0da5e81af7c-Abstract-Conference.html,unrecorded,,source_screened,2026-09-14,,,,,,
spinquant-2025,SpinQuant: LLM Quantization with Learned Rotations,2025,ICLR,paper,published,quantization,quantization;rotation;calibration,LLM,比较旋转学习与随机旋转的精度条件及优化成本,https://proceedings.iclr.cc/paper_files/paper/2025/hash/e5b1c0d4866f72393c522c8a00eed4eb-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2025/hash/e5b1c0d4866f72393c522c8a00eed4eb-Abstract-Conference.html,unrecorded,,source_screened,2026-09-14,,,,,,
qdiffusion-2023,Q-Diffusion: Quantizing Diffusion Models,2023,ICCV,paper,published,quantization,quantization;calibration;inference,diffusion;U-Net,理解时间步分布与迭代误差下的校准设计,https://arxiv.org/abs/2302.04304,https://openaccess.thecvf.com/content/ICCV2023/html/Li_Q-Diffusion_Quantizing_Diffusion_Models_ICCV_2023_paper.html,unrecorded,,source_screened,2026-09-14,,,,,,
ptq4dit-2024,PTQ4DiT: Post-training Quantization for Diffusion Transformers,2024,NeurIPS,paper,published,quantization,quantization;calibration;scaling,diffusion;DiT,分析面向DiT的显著性平衡与跨时间步校准,https://proceedings.neurips.cc/paper_files/paper/2024/hash/72d32f4fe0b7af03732bd227bf1c4a5f-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2024/hash/72d32f4fe0b7af03732bd227bf1c4a5f-Abstract-Conference.html,unrecorded,,source_screened,2026-09-14,,,,,,
hgpipe-2024,HG-PIPE: Vision Transformer Acceleration with Hybrid-Grained Pipeline,2024,ICCAD,paper,published,fpga-architecture,architecture;pipeline;quantization;memory,ViT,比较流水线粒度与缓冲资源和依赖关系的取舍,https://arxiv.org/html/2407.17879v1,https://mengli.me/publication/iccad-2024-hgpipe/,unrecorded,,draft_note,2026-09-14,notes/hgpipe-2024.md,,,,,
flightllm-2024,FlightLLM: Efficient Large Language Model Inference with a Complete Mapping Flow on FPGAs,2024,FPGA,paper,published,fpga-architecture,architecture;memory;inference;mapping,LLM,分析LLM计算与存储映射及低比特执行条件,https://arxiv.org/abs/2401.03868,https://doi.org/10.1145/3626202.3637562,unrecorded,,source_screened,2026-09-14,,,,,,
allo-2024,Allo: A Programming Model for Composable Accelerator Design,2024,PLDI (PACMPL 8),paper,published,fpga-architecture,hls-tools;programming-model;mapping,HLS-kernels;neural-networks,理解多计算核组合与可复用硬件定制方法,https://www.csl.cornell.edu/~zhiruz/pdfs/allo-pldi2024.pdf,https://doi.org/10.1145/3656401,unrecorded,,source_screened,2026-09-14,,,,,,
edgedecoding-aicas2025,EdgeDecoding: AICAS 2025 Grand Challenge Track 2 / 1_sec code,2025,AICAS 2025 Grand Challenge engineering reference,engineering,not_applicable,fpga-architecture,architecture;hls-implementation;memory;inference,LLM,从公开工程实现追踪模块划分和数据接口,https://github.com/IEEE-AICAS/AICAS2025_GC/blob/main/Track2/1_sec/code/README.zh-CN.md,https://github.com/IEEE-AICAS/AICAS2025_GC/blob/main/Track2/1_sec/code/README.zh-CN.md,unrecorded,,source_screened,2026-09-14,,,,,,
